Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_1,Tunnel,Houston,2020-01-01,2022-03-25,12260784,15054504.05,2793720.05,699,814,115,1.53,2.81,471.2,18.54,49.88,Snowy,210,25202.99,244.84,6602,76.3,8,6.19,52.99,0,95.01,High
PJT_2,Dam,Houston,2020-01-02,2021-01-20,2369277,3507053.96,1137776.96,269,384,115,0.69,3.7,355.16,23.32,58.64,Snowy,195,49066.17,263.12,7121,63.53,5,2.13,50.89,0,25.29,Low
PJT_3,Building,Houston,2020-01-03,2022-12-20,23299783,21692126.7,-1607656.3,899,1082,183,0.95,3.31,236.49,42.96,36.17,Cloudy,127,48192.55,608.99,9956,47.1,2,3.11,93.91,0,97.48,Medium
PJT_4,Dam,Houston,2020-01-04,2022-09-05,24499306,29469660.5,4970354.5,809,975,166,0.87,1.78,360.29,22.42,72.05,Cloudy,71,19811.15,673.57,3725,86.85,5,4.07,90.45,1,95.1,High
PJT_5,Dam,Seattle,2020-01-05,2020-12-18,1749971,2329338.04,579367.04,354,348,-6,1.97,4.04,204.79,15.91,57.24,Cloudy,113,44866.57,765.48,4368,61.83,6,2.76,78.39,0,43.62,Low
PJT_6,Road,Seattle,2020-01-06,2021-01-20,16711072,23689353.01,6978281.01,255,380,125,0.66,1.47,174.77,21.54,76.63,Sunny,70,43142.51,262.95,4497,84.16,6,2.35,99.94,0,98.46,Low
PJT_7,Building,Los Angeles,2020-01-07,2022-04-18,47109273,47465106.63,355833.63,792,832,40,0.66,2.86,498.51,41.03,74.65,Cloudy,178,14480.62,963.11,9174,70.78,7,1.52,97.65,0,13.23,Low
PJT_8,Building,New York,2020-01-08,2022-03-13,42776934,59032258.28,16255324.28,842,795,-47,0.77,3.73,387.86,35.56,35.05,Rainy,290,33093.07,674.87,6642,84.32,3,8.86,82.76,0,69.47,High
PJT_9,Building,Houston,2020-01-09,2022-01-29,25527188,31439903.66,5912715.66,579,751,172,1.17,1.89,340.12,7.76,70.09,Cloudy,156,8270.7,862.34,9774,94.44,0,3.6,73.23,0,33.95,Medium
PJT_10,Dam,Los Angeles,2020-01-10,2020-11-19,5460276,6213423.93,753147.93,250,314,64,0.58,1.51,209.88,3.05,76.0,Rainy,165,42651.98,586.06,5766,95.26,5,3.61,57.61,0,21.65,Medium
PJT_11,Tunnel,New York,2020-01-11,2021-02-27,42011120,41130105.52,-881014.48,359,413,54,1.84,2.3,72.12,4.44,44.23,Stormy,173,12854.56,472.85,5633,72.11,7,2.86,75.78,0,61.98,Low
PJT_12,Building,Chicago,2020-01-12,2020-12-26,27507881,39038564.56,11530683.56,303,349,46,0.6,4.09,63.98,17.74,32.08,Sunny,192,8186.66,979.46,2821,70.69,4,5.28,57.89,0,37.57,Medium
PJT_13,Dam,Seattle,2020-01-13,2022-02-19,43428797,43184029.04,-244767.96,560,768,208,1.8,4.65,299.38,30.92,20.18,Sunny,85,23009.86,623.91,2185,55.94,2,5.63,69.92,1,70.01,High
PJT_14,Road,New York,2020-01-14,2021-05-08,28445000,30887649.39,2442649.39,472,480,8,0.3,2.73,392.91,17.68,51.56,Snowy,96,30961.5,880.19,2637,96.15,3,2.87,97.13,0,58.6,Low
PJT_15,Tunnel,Chicago,2020-01-15,2021-06-19,18962327,20366057.23,1403730.23,374,521,147,1.35,3.31,291.82,-6.27,44.67,Stormy,231,43471.26,957.96,8236,67.48,7,6.48,67.1,0,45.33,High
PJT_16,Road,New York,2020-01-16,2021-06-24,39516260,56225648.13,16709388.13,407,525,118,1.82,4.52,428.35,29.8,58.84,Rainy,263,48840.91,707.82,9380,47.66,5,7.51,57.64,0,26.36,High
PJT_17,Tunnel,Seattle,2020-01-17,2021-12-19,15226224,19849237.49,4623013.49,610,702,92,0.42,0.49,65.04,34.33,33.16,Stormy,81,24777.16,594.04,2746,65.96,4,4.36,79.12,0,64.11,Medium
PJT_18,Dam,Seattle,2020-01-18,2022-01-10,34034792,46900244.19,12865452.19,615,723,108,1.94,1.16,215.04,5.92,80.18,Sunny,235,7720.11,103.16,6797,47.62,8,6.27,80.12,1,84.63,High
PJT_19,Bridge,Los Angeles,2020-01-19,2021-11-24,25509968,26792628.05,1282660.05,640,675,35,0.96,3.54,156.68,26.53,38.04,Rainy,223,38710.2,136.02,9089,70.15,9,5.52,59.69,0,64.0,Medium
PJT_20,Tunnel,Houston,2020-01-20,2023-01-01,20170135,25715398.47,5545263.47,797,1077,280,1.9,4.12,251.27,13.46,35.85,Stormy,103,30432.8,280.77,3620,73.68,2,2.76,59.83,1,64.95,Medium
PJT_21,Road,New York,2020-01-21,2020-09-19,2500948,3108797.38,607849.38,200,242,42,1.39,4.29,82.57,38.9,53.65,Sunny,210,25155.11,267.41,8597,60.27,6,7.57,99.48,0,56.07,High
PJT_22,Dam,New York,2020-01-22,2020-10-13,7327090,10255714.88,2928624.88,243,265,22,0.67,2.08,479.36,36.49,54.92,Rainy,299,18917.1,329.28,9002,44.3,8,8.21,62.16,0,44.94,High
PJT_23,Tunnel,Chicago,2020-01-23,2021-03-31,21885050,31594401.37,9709351.37,344,433,89,0.46,0.45,150.46,18.9,35.06,Rainy,282,27607.93,374.44,7107,96.61,3,6.84,91.91,0,51.17,High
PJT_24,Bridge,Seattle,2020-01-24,2020-11-27,32834022,29790113.22,-3043908.78,206,308,102,0.68,2.19,465.04,28.03,39.03,Sunny,216,20240.58,424.06,3793,86.4,9,3.92,73.52,1,99.06,Medium
PJT_25,Bridge,New York,2020-01-25,2021-08-16,40391628,52687322.3,12295694.3,490,569,79,0.28,1.15,241.65,38.58,31.88,Rainy,72,39065.53,478.48,3500,90.33,9,9.34,71.75,1,77.47,High
PJT_26,Building,Seattle,2020-01-26,2021-11-30,16226559,15108573.09,-1117985.91,464,674,210,0.37,1.46,493.49,17.26,70.29,Sunny,220,29475.22,188.98,9361,62.01,2,5.1,64.75,0,48.75,Medium
PJT_27,Building,New York,2020-01-27,2022-08-13,37257426,45801120.06,8543694.06,839,929,90,0.3,3.86,299.33,7.23,73.91,Cloudy,232,44458.15,138.13,5925,85.65,0,3.39,88.69,0,51.16,Medium
PJT_28,Road,Los Angeles,2020-01-28,2021-04-01,28870540,30965953.33,2095413.33,460,429,-31,0.9,0.38,468.87,31.45,52.36,Cloudy,51,29459.48,706.55,2080,69.12,8,4.67,94.03,0,54.97,Medium
PJT_29,Tunnel,Houston,2020-01-29,2021-01-14,33434302,36244988.68,2810686.68,343,351,8,1.61,4.14,52.41,2.1,69.99,Rainy,243,15721.81,583.6,5864,52.07,0,7.23,63.06,0,69.34,High
PJT_30,Tunnel,New York,2020-01-30,2021-05-08,40112237,44595786.38,4483549.38,403,464,61,0.37,2.14,386.71,11.37,71.52,Rainy,215,43299.13,499.73,5453,47.47,1,8.61,54.75,0,51.94,High
PJT_31,Building,Seattle,2020-01-31,2020-12-31,39456876,50219743.87,10762867.87,325,335,10,0.35,2.98,456.37,37.61,29.68,Sunny,296,30074.86,671.0,3248,60.7,8,4.21,56.85,0,71.76,Medium
PJT_32,Tunnel,Los Angeles,2020-02-01,2020-08-07,17969728,19774427.41,1804699.41,209,188,-21,1.32,0.45,112.87,29.84,87.63,Rainy,292,14307.85,844.91,2325,48.25,4,3.09,89.64,0,39.63,Medium
PJT_33,Tunnel,New York,2020-02-02,2020-12-23,48718418,65264139.37,16545721.37,224,325,101,0.47,1.69,93.26,12.21,77.47,Snowy,206,33057.85,484.92,4873,99.9,3,6.64,71.79,0,46.96,High
PJT_34,Bridge,Chicago,2020-02-03,2022-08-05,21491595,24558798.74,3067203.74,650,914,264,0.29,0.45,241.06,1.81,34.31,Cloudy,293,21097.25,677.01,2688,42.95,8,9.29,56.6,0,87.76,High
PJT_35,Building,Houston,2020-02-04,2020-11-17,32175239,30277283.43,-1897955.57,213,287,74,0.42,4.81,470.16,9.58,33.03,Rainy,159,42998.25,958.22,3985,66.47,8,2.65,67.01,1,39.6,Medium
PJT_36,Dam,New York,2020-02-05,2022-05-18,6845447,9380014.18,2534567.18,832,833,1,1.86,4.04,294.07,5.63,28.8,Rainy,173,25398.49,855.66,3076,67.13,1,8.23,75.71,0,96.8,High
PJT_37,Building,Los Angeles,2020-02-06,2021-09-17,47847988,51266965.73,3418977.73,606,589,-17,1.66,2.3,287.36,-0.32,29.69,Stormy,116,37689.86,483.4,2461,58.04,2,5.29,92.6,0,25.53,Medium
PJT_38,Dam,Chicago,2020-02-07,2021-02-17,36103852,41868197.62,5764345.62,400,376,-24,0.77,1.12,113.51,30.88,72.37,Rainy,280,9299.13,680.25,1072,74.28,2,8.2,82.09,0,31.75,High
PJT_39,Bridge,Los Angeles,2020-02-08,2022-09-16,12737532,16702296.84,3964764.84,713,951,238,1.35,4.67,50.36,3.86,52.88,Snowy,120,22821.1,259.36,7030,49.0,4,5.55,58.8,0,51.73,High
PJT_40,Road,Los Angeles,2020-02-09,2023-08-01,49491820,54414954.17,4923134.17,871,1269,398,1.12,1.72,414.56,14.98,74.81,Cloudy,213,49245.86,604.47,5611,87.03,2,4.4,57.94,0,81.77,Medium
PJT_41,Tunnel,Chicago,2020-02-10,2021-11-03,9312934,8697827.69,-615106.31,546,632,86,1.39,0.8,89.41,11.22,72.24,Stormy,78,41380.71,983.2,3796,59.95,9,7.27,70.62,1,75.84,High
PJT_42,Bridge,Los Angeles,2020-02-11,2022-01-19,4900379,5509754.01,609375.01,729,708,-21,1.4,2.82,335.23,44.01,62.32,Sunny,168,12197.34,566.48,8717,75.48,5,9.11,53.76,0,25.7,High
PJT_43,Tunnel,Chicago,2020-02-12,2022-08-19,38358841,56259728.71,17900887.71,761,919,158,1.29,4.72,461.58,11.51,68.05,Sunny,214,17499.38,934.87,5516,82.94,1,3.88,87.78,0,31.3,Medium
PJT_44,Road,New York,2020-02-13,2021-01-05,12353540,15874800.93,3521260.93,295,327,32,0.61,0.02,143.89,-5.6,21.28,Cloudy,162,19841.71,466.6,3493,93.34,5,5.15,70.07,0,61.77,Medium
PJT_45,Road,Chicago,2020-02-14,2021-05-29,7722055,10060968.85,2338913.85,418,470,52,0.17,1.19,349.37,-5.06,41.82,Sunny,299,34266.45,998.96,5231,90.15,5,3.06,67.15,0,36.56,Medium
PJT_46,Bridge,Chicago,2020-02-15,2021-11-30,16056024,20541584.06,4485560.06,514,654,140,0.97,4.69,85.41,22.49,64.65,Snowy,277,39064.76,621.3,4576,76.5,1,2.65,75.46,1,48.01,Medium
PJT_47,Road,Houston,2020-02-16,2022-05-21,49968538,50937691.95,969153.95,620,825,205,1.79,0.86,321.69,22.96,20.65,Rainy,264,38728.7,138.04,9100,63.3,5,8.0,85.45,0,53.79,High
PJT_48,Dam,Chicago,2020-02-17,2020-12-29,10035949,11551380.5,1515431.5,327,316,-11,1.18,0.57,123.77,13.03,22.31,Cloudy,94,27944.33,628.08,6728,70.19,5,2.81,78.47,0,63.48,Low
PJT_49,Road,Chicago,2020-02-18,2020-08-09,19298198,26063449.15,6765251.15,188,173,-15,1.68,2.85,381.18,13.75,79.63,Stormy,65,41486.92,347.12,1032,86.12,5,8.14,90.12,0,32.59,High
PJT_50,Tunnel,New York,2020-02-19,2022-01-18,33672748,32353575.62,-1319172.38,467,699,232,1.98,4.31,185.55,-7.03,67.88,Rainy,289,24668.51,129.23,5373,92.65,4,4.86,81.47,0,24.68,Medium
PJT_51,Tunnel,Houston,2020-02-20,2021-10-01,7281646,7767416.73,485770.73,567,589,22,0.41,2.39,258.53,18.41,38.58,Sunny,80,10574.63,838.77,4598,46.23,6,9.96,89.4,0,45.87,High
PJT_52,Tunnel,Seattle,2020-02-21,2020-09-21,40980720,43676901.61,2696181.61,229,213,-16,1.41,4.97,319.74,17.76,68.16,Sunny,211,30399.88,348.16,3392,63.09,4,2.78,84.84,1,17.38,Medium
PJT_53,Tunnel,New York,2020-02-22,2022-01-28,44144878,51173243.91,7028365.91,696,706,10,1.38,3.4,127.07,-1.77,75.47,Stormy,99,47853.56,816.89,7705,86.57,0,1.84,59.66,0,57.41,Low
PJT_54,Dam,New York,2020-02-23,2022-03-18,29751505,44276821.8,14525316.8,817,754,-63,1.96,0.37,383.74,-4.29,41.48,Snowy,242,40684.71,359.4,7790,65.9,8,1.68,52.62,0,85.56,Low
PJT_55,Building,Seattle,2020-02-24,2022-07-12,22958593,21592591.8,-1366001.2,766,869,103,1.97,4.96,186.19,-3.2,22.52,Stormy,259,31041.53,274.89,3677,59.93,2,8.52,95.17,0,20.71,High
PJT_56,Bridge,Chicago,2020-02-25,2023-05-23,39835523,48249605.94,8414082.94,856,1183,327,1.4,2.04,348.07,-4.44,85.29,Cloudy,171,34106.25,976.54,2401,64.68,1,4.94,97.28,1,20.15,High
PJT_57,Tunnel,Los Angeles,2020-02-26,2021-07-15,38962717,39259566.51,296849.51,457,505,48,0.56,1.44,121.23,23.53,44.16,Stormy,239,46875.29,425.48,1817,76.17,9,1.03,86.35,0,17.22,Low
PJT_58,Road,Houston,2020-02-27,2021-09-08,15945952,23638373.76,7692421.76,479,559,80,1.62,2.79,359.65,0.81,27.45,Sunny,281,24275.43,641.24,7203,99.99,5,8.87,86.21,0,86.31,High
PJT_59,Tunnel,Los Angeles,2020-02-28,2022-11-27,14363838,13903938.11,-459899.89,768,1003,235,0.3,1.52,107.68,3.83,54.43,Snowy,220,19912.74,648.98,5562,69.58,7,8.89,63.51,0,17.26,High
PJT_60,Road,Seattle,2020-02-29,2022-11-23,28550115,32608816.52,4058701.52,828,998,170,1.58,0.43,241.41,-0.45,73.79,Snowy,233,48975.87,604.43,5723,52.51,1,8.26,77.12,0,98.51,High
PJT_61,Road,New York,2020-03-01,2023-04-04,42566801,57155762.89,14588961.89,797,1129,332,1.83,0.01,161.24,42.68,35.52,Stormy,297,43854.94,923.23,3438,49.77,3,3.23,99.61,0,42.25,Medium
PJT_62,Tunnel,New York,2020-03-02,2023-03-23,12044590,15931772.53,3887182.53,786,1116,330,0.83,2.25,386.77,37.0,38.86,Cloudy,64,19536.96,707.0,7828,42.54,1,4.35,92.81,1,39.59,High
PJT_63,Dam,Houston,2020-03-03,2020-12-12,12633575,14574561.86,1940986.86,314,284,-30,1.3,4.18,167.92,2.68,36.99,Sunny,225,25870.13,463.36,2210,73.53,8,7.7,65.22,0,18.25,High
PJT_64,Road,New York,2020-03-04,2023-01-05,6059667,6713592.94,653925.94,759,1037,278,0.92,2.86,446.77,8.02,89.42,Rainy,98,23678.52,876.14,7641,72.67,9,5.4,65.05,0,62.71,Medium
PJT_65,Road,New York,2020-03-05,2021-03-24,42645168,48554399.21,5909231.21,326,384,58,0.93,5.0,451.32,1.54,33.82,Snowy,258,11709.31,262.96,1599,52.31,1,2.38,74.18,1,62.73,Medium
PJT_66,Tunnel,Houston,2020-03-06,2022-11-30,37540128,39738694.05,2198566.05,669,999,330,0.69,1.43,138.4,17.05,60.29,Stormy,221,48101.87,589.81,6480,81.72,9,3.19,70.23,0,54.44,Medium
PJT_67,Road,Houston,2020-03-07,2022-04-28,9826233,10054199.28,227966.28,657,782,125,1.55,1.4,326.23,-8.92,84.77,Cloudy,59,23194.06,955.5,2846,84.47,1,9.75,68.56,0,37.99,High
PJT_68,Road,Seattle,2020-03-08,2021-07-25,37855538,45041420.78,7185882.78,338,504,166,1.88,0.8,89.47,26.93,30.28,Cloudy,69,44389.81,662.86,7592,55.55,4,2.36,81.35,0,43.17,Low
PJT_69,Tunnel,New York,2020-03-09,2022-04-10,48336078,51290391.35,2954313.35,563,762,199,1.89,0.82,226.19,18.77,87.96,Sunny,119,13521.03,835.27,8861,60.65,4,7.53,50.57,1,38.85,High
PJT_70,Tunnel,New York,2020-03-10,2021-03-04,19149286,20537168.78,1387882.78,342,359,17,0.43,1.43,370.99,39.43,86.32,Snowy,57,29654.19,688.2,2887,99.43,6,5.3,88.17,0,48.35,Medium
PJT_71,Bridge,Seattle,2020-03-11,2022-04-08,28596545,37005463.09,8408918.09,620,758,138,1.76,3.96,346.74,-0.96,81.92,Sunny,222,6078.26,855.43,1679,62.46,0,7.74,87.0,0,40.76,High
PJT_72,Dam,Chicago,2020-03-12,2021-09-13,24498524,36285312.64,11786788.64,368,550,182,1.5,4.53,331.12,34.23,35.02,Rainy,83,39389.92,950.04,4252,85.65,1,6.95,91.52,0,70.8,High
PJT_73,Dam,Chicago,2020-03-13,2022-07-01,30184104,38097842.42,7913738.42,594,840,246,0.58,4.88,177.14,33.56,64.38,Rainy,273,31141.13,345.63,2835,67.16,5,4.95,92.07,0,36.62,Medium
PJT_74,Road,Chicago,2020-03-14,2021-07-23,26018569,24618449.45,-1400119.55,518,496,-22,0.23,1.16,220.11,-3.01,73.26,Rainy,228,33151.53,252.69,3177,87.6,1,4.19,78.32,0,41.58,Medium
PJT_75,Dam,Seattle,2020-03-15,2023-01-20,11930625,11278618.35,-652006.65,786,1041,255,0.61,4.41,96.33,11.92,89.02,Cloudy,295,7327.44,535.59,9142,86.14,3,7.79,89.0,1,49.19,High
PJT_76,Road,New York,2020-03-16,2021-04-19,22227468,32693358.72,10465890.72,360,399,39,1.83,1.64,373.56,-0.64,32.63,Snowy,283,14496.72,731.68,1148,80.07,9,3.91,74.62,0,10.36,Medium
PJT_77,Bridge,Seattle,2020-03-17,2021-05-13,44513097,48001787.57,3488690.57,467,422,-45,1.3,0.56,276.75,4.01,73.62,Sunny,53,8344.89,304.47,2495,91.29,5,8.09,97.58,0,54.29,High
PJT_78,Tunnel,Seattle,2020-03-18,2021-05-10,10249677,9790903.42,-458773.58,366,418,52,1.47,4.35,368.94,4.48,43.72,Sunny,157,18001.14,103.69,2744,96.35,6,7.12,59.53,0,33.02,High
PJT_79,Tunnel,Chicago,2020-03-19,2021-02-12,48657169,61280140.33,12622971.33,317,330,13,0.59,3.18,162.02,20.59,32.29,Rainy,291,33234.76,408.64,2646,74.8,9,6.2,95.78,0,15.05,High
PJT_80,Tunnel,Los Angeles,2020-03-20,2021-05-24,31223477,39784619.27,8561142.27,309,430,121,1.47,0.82,196.0,12.63,49.5,Snowy,216,30478.37,971.97,3995,54.25,4,4.32,62.93,0,91.99,Medium
PJT_81,Dam,New York,2020-03-21,2021-05-06,28327176,36516644.51,8189468.51,373,411,38,0.15,2.15,200.4,42.13,75.57,Snowy,261,32546.74,725.47,7643,63.92,7,2.85,55.14,0,39.02,Medium
PJT_82,Bridge,Chicago,2020-03-22,2022-02-11,14737336,15628078.52,890742.52,495,691,196,0.81,1.44,61.58,-3.05,52.54,Stormy,73,29716.31,461.19,8378,85.5,5,7.39,71.96,0,48.35,High
PJT_83,Dam,Los Angeles,2020-03-23,2021-01-08,23432851,21302017.75,-2130833.25,323,291,-32,1.29,3.68,203.47,43.55,57.63,Snowy,265,17286.3,273.32,9849,79.05,4,1.82,80.75,1,84.46,Medium
PJT_84,Dam,Los Angeles,2020-03-24,2020-10-22,49032410,72519386.55,23486976.55,195,212,17,0.38,2.27,411.49,2.69,89.66,Snowy,104,16002.84,420.48,4667,50.67,3,9.73,61.55,1,25.01,High
PJT_85,Bridge,Houston,2020-03-25,2021-08-10,29373620,30858040.19,1484420.19,481,503,22,1.66,4.95,453.78,32.51,47.94,Sunny,75,11167.69,252.86,1576,43.07,5,9.81,77.79,0,86.53,High
PJT_86,Bridge,New York,2020-03-26,2021-12-12,17938661,23420998.75,5482337.75,602,626,24,0.55,0.27,283.2,8.64,63.08,Snowy,74,43208.19,195.68,5779,80.98,5,2.17,90.39,1,31.75,Medium
PJT_87,Bridge,Los Angeles,2020-03-27,2021-04-30,4834242,6400429.68,1566187.68,424,399,-25,1.34,1.78,254.98,-2.13,45.57,Snowy,85,32741.57,916.07,9187,55.06,5,1.94,62.85,0,63.01,Low
PJT_88,Bridge,Chicago,2020-03-28,2021-01-12,12671439,16042098.17,3370659.17,286,290,4,0.87,2.41,63.87,37.18,47.49,Sunny,120,13393.0,997.89,3972,69.98,0,4.71,79.02,1,71.71,High
PJT_89,Tunnel,Houston,2020-03-29,2021-02-21,30584733,33268373.16,2683640.16,267,329,62,1.23,2.52,445.64,6.99,68.69,Snowy,251,12974.42,247.7,8756,84.8,5,9.67,66.97,0,91.45,High
PJT_90,Building,New York,2020-03-30,2021-02-24,7494503,7964091.71,469588.71,308,331,23,0.3,1.58,55.85,26.24,85.65,Sunny,235,44286.6,149.07,4948,73.76,0,4.6,76.49,1,64.69,High
PJT_91,Building,Seattle,2020-03-31,2021-11-19,33266497,41869245.38,8602748.38,520,598,78,0.13,3.65,475.14,21.15,57.97,Stormy,288,38422.89,396.76,7544,45.0,4,4.27,83.35,0,50.79,Medium
PJT_92,Bridge,Chicago,2020-04-01,2020-10-24,32707048,46432802.08,13725754.08,183,206,23,1.83,4.37,270.15,15.95,73.79,Cloudy,61,34672.96,515.49,3045,51.13,6,7.33,67.52,0,61.5,High
PJT_93,Building,Los Angeles,2020-04-02,2022-03-24,1684029,2472222.33,788193.33,506,721,215,0.61,4.69,203.87,17.27,26.24,Sunny,178,23308.88,284.34,2627,53.16,0,2.61,99.72,0,28.19,Medium
PJT_94,Building,Los Angeles,2020-04-03,2022-08-01,6337355,6106317.11,-231037.89,589,850,261,1.66,4.03,465.9,30.27,34.78,Sunny,165,16788.9,371.28,2488,55.47,0,4.27,78.19,0,72.02,Medium
PJT_95,Bridge,Chicago,2020-04-04,2021-11-05,49761066,49407621.49,-353444.51,485,580,95,2.0,4.25,60.98,-5.17,55.15,Snowy,227,49075.28,280.78,4563,73.92,5,3.62,91.22,0,26.82,Medium
PJT_96,Building,Los Angeles,2020-04-05,2022-08-16,7981440,11707509.46,3726069.46,786,863,77,0.5,2.75,311.64,26.75,21.4,Sunny,202,40875.78,796.83,2802,70.24,6,6.41,86.26,1,60.15,High
PJT_97,Dam,Houston,2020-04-06,2021-04-30,27918198,37464020.0,9545822.0,404,389,-15,0.6,4.13,297.02,39.27,37.7,Rainy,257,18580.07,741.32,4591,52.19,5,2.46,92.64,0,68.28,Low
PJT_98,Road,New York,2020-04-07,2022-05-23,38554126,55124546.51,16570420.51,527,776,249,1.36,1.52,148.69,-6.82,56.22,Rainy,182,43140.42,671.46,4520,44.05,4,5.94,58.69,0,90.87,High
PJT_99,Road,Houston,2020-04-08,2021-07-20,17684388,18066009.67,381621.67,500,468,-32,1.93,1.99,243.0,-2.26,21.05,Stormy,132,39151.94,448.5,6896,50.29,5,8.72,61.13,0,50.52,High
PJT_100,Bridge,Los Angeles,2020-04-09,2022-06-14,48878717,61223111.4,12344394.4,738,796,58,1.84,1.58,343.52,29.41,38.52,Sunny,245,18368.62,918.14,8643,99.06,2,5.63,74.37,0,79.78,High
PJT_101,Tunnel,Seattle,2020-04-10,2021-05-03,45768534,60445759.42,14677225.42,360,388,28,1.06,2.34,377.21,14.05,55.98,Snowy,55,24194.88,972.58,8041,68.11,8,7.15,92.62,1,25.08,High
PJT_102,Bridge,New York,2020-04-11,2022-08-30,19138519,25034467.65,5895948.65,797,871,74,1.61,1.43,50.32,12.2,60.12,Snowy,75,13367.91,256.28,4311,92.04,4,1.68,59.88,0,24.06,Low
PJT_103,Tunnel,New York,2020-04-12,2022-09-18,21978981,25163537.86,3184556.86,890,889,-1,0.36,4.81,471.58,-2.47,84.8,Cloudy,162,9997.36,300.71,3305,90.93,1,5.04,98.55,0,57.23,Medium
PJT_104,Road,Chicago,2020-04-13,2022-05-27,8964443,8150802.68,-813640.32,565,774,209,1.96,1.56,124.04,17.87,65.17,Stormy,152,37524.29,573.07,8875,70.69,9,1.85,56.38,0,63.67,Low
PJT_105,Bridge,Chicago,2020-04-14,2022-05-30,22444021,28049541.7,5605520.7,797,776,-21,1.93,0.49,155.11,-3.04,49.03,Snowy,169,17038.03,182.13,2967,82.4,9,6.4,58.75,0,66.91,High
