Equipment_Record_ID,Source_UID,Data_Split,ProductType,Humidity,Temperature,Age,Quantity,MTTF
1,1,Training,Extruder,5.88,66.17,13,39764,69.0
2,2,Training,Pressure Cutter,42.76,40.29,4,45181,532.0
3,3,Training,Extruder,76.62,52.08,4,70397,93.0
4,4,Training,Pump,45.91,90.26,14,49470,183.0
5,5,Training,Gauge Machine,78.87,58.56,12,45145,447.0
6,6,Training,Extruder,56.77,79.91,10,40452,479.0
7,7,Training,Extruder,41.21,47.05,2,47357,541.0
8,8,Training,Extruder,32.71,73.5,17,57133,352.0
9,9,Training,Pump,59.77,67.11,16,46510,306.0
10,10,Training,Gauge Machine,20.78,93.24,3,77904,173.0
11,11,Training,Pressure Cutter,21.19,53.14,15,72802,316.0
12,12,Training,Gauge Machine,70.66,88.72,4,72476,187.0
13,13,Training,Pump,67.35,79.16,7,64523,268.0
14,14,Training,Extruder,80.13,65.13,10,73792,218.0
15,15,Training,Extruder,18.46,52.67,3,79897,394.0
16,16,Training,Pump,14.7,61.27,9,77733,458.0
17,17,Training,Coil Oven,92.07,55.75,2,75627,302.0
18,18,Training,Extruder,86.49,91.28,16,78042,436.0
19,19,Training,Gauge Machine,34.83,79.31,16,66785,175.0
20,20,Training,Pump,84.83,50.03,5,30106,468.0
21,21,Training,Pump,15.69,42.02,7,46018,496.0
22,22,Training,Pump,5.27,56.04,17,63907,471.0
23,23,Training,Coil Oven,27.71,81.92,14,46454,353.0
24,24,Training,Gauge Machine,51.75,46.4,16,50608,320.0
25,25,Training,Pressure Cutter,15.05,57.55,6,34403,228.0
26,26,Training,Gauge Machine,27.51,78.0,9,58504,160.0
27,27,Training,Gauge Machine,90.26,60.47,5,50528,262.0
28,28,Training,Coil Oven,11.14,84.23,14,65441,527.0
29,29,Training,Extruder,67.17,73.71,10,24089,445.0
30,30,Training,Extruder,66.46,84.47,17,77183,362.0
31,31,Training,Pressure Cutter,9.87,44.51,12,60062,91.0
32,32,Training,Coil Oven,48.17,42.66,12,76146,325.0
33,33,Training,Extruder,71.35,67.54,7,47864,100.0
34,34,Training,Extruder,64.95,38.34,14,29710,216.0
35,35,Training,Gauge Machine,76.96,53.12,10,66032,415.0
36,36,Training,Pump,34.74,35.27,11,76047,312.0
37,37,Training,Extruder,89.71,78.23,13,44168,97.0
38,38,Training,Extruder,8.07,56.47,5,38116,340.0
39,39,Training,Pressure Cutter,65.75,41.47,8,47373,171.0
40,40,Training,Pump,50.76,52.06,12,38753,425.0
