epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1074.27,1.3683,2.67173,1.49215,0.47205,0.32178,0.30963,0.13453,1.93369,3.03382,1.97067,0.000237268,0.000237268,0.000237268
2,2102.48,1.28842,1.90766,1.42801,0.47697,0.42368,0.3976,0.16773,1.84685,2.49352,1.86223,0.000465857,0.000465857,0.000465857
3,3587.87,1.26512,1.76979,1.40883,0.57888,0.4487,0.48929,0.21969,1.86449,2.22487,1.873,0.000685022,0.000685022,0.000685022
4,7547.45,1.24788,1.65874,1.39278,0.5939,0.47616,0.50248,0.24845,1.80163,2.13694,1.82508,0.000671588,0.000671588,0.000671588
5,9454.26,1.22068,1.57986,1.36487,0.73341,0.51946,0.57276,0.26702,1.82608,1.86567,1.81557,0.000657451,0.000657451,0.000657451
6,10812.6,1.19321,1.49063,1.34797,0.69829,0.523,0.5795,0.28557,1.78096,1.73752,1.73814,0.000643314,0.000643314,0.000643314
7,11899.8,1.16913,1.43067,1.33779,0.71055,0.54193,0.59992,0.26909,1.90671,1.70433,1.83116,0.000629177,0.000629177,0.000629177
8,12986,1.1705,1.40103,1.32381,0.73759,0.56866,0.62046,0.30231,1.75133,1.57664,1.74145,0.00061504,0.00061504,0.00061504
9,14056.1,1.14019,1.34966,1.30871,0.74559,0.55637,0.62667,0.29492,1.77813,1.55662,1.73806,0.000600902,0.000600902,0.000600902
10,15308.3,1.13284,1.32219,1.30259,0.73081,0.61432,0.63891,0.29968,1.74705,1.46663,1.73717,0.000586765,0.000586765,0.000586765
11,16499.3,1.13337,1.28413,1.29464,0.77231,0.55207,0.62445,0.28783,1.83104,1.49872,1.83495,0.000572628,0.000572628,0.000572628
12,18827.2,1.113,1.25043,1.28462,0.76065,0.59716,0.64656,0.31888,1.69747,1.40033,1.67998,0.000558491,0.000558491,0.000558491
13,20596.7,1.11126,1.2355,1.2839,0.76867,0.58084,0.63676,0.31839,1.66053,1.35421,1.66847,0.000544354,0.000544354,0.000544354
14,21948.9,1.10451,1.20841,1.27041,0.73099,0.61763,0.65279,0.3328,1.65416,1.32519,1.63708,0.000530216,0.000530216,0.000530216
15,23440.9,1.09128,1.18453,1.26521,0.76866,0.60765,0.66309,0.32097,1.72898,1.38914,1.72354,0.000516079,0.000516079,0.000516079
16,24366.7,1.07303,1.1365,1.24818,0.79194,0.57617,0.65566,0.30485,1.75947,1.31914,1.75328,0.000501942,0.000501942,0.000501942
17,25346.2,1.06454,1.14047,1.25005,0.79403,0.62433,0.67015,0.34523,1.63453,1.24982,1.6498,0.000487805,0.000487805,0.000487805
